t,theta_student,phi_student,theta_reference,phi_reference
1.040000000000000036e+00,2.309213015937713054e-01,4.842490262598239115e-01,3.268992716357829731e-01,1.254645660122550410e+00
1.050000000000000044e+00,2.403619834480309470e-01,5.047568776269217850e-01,3.309651627983082323e-01,1.301058578028022161e+00
1.060000000000000053e+00,2.500620631918777370e-01,5.260085659659837765e-01,3.344674648735974087e-01,1.348646031774773935e+00
1.070000000000000062e+00,2.600492528126155944e-01,5.480404243140251097e-01,3.373552696129259454e-01,1.397453732510239854e+00
1.080000000000000071e+00,2.703197730325869741e-01,5.708679672177343623e-01,3.395755743211825717e-01,1.447528416025176234e+00
1.090000000000000080e+00,2.808589629429995016e-01,5.944996082742758370e-01,3.410743881465587157e-01,1.498917834880635347e+00
1.100000000000000089e+00,2.916521616350609136e-01,6.189437610808142809e-01,3.417933756980141013e-01,1.551675808233341058e+00
1.110000000000000098e+00,3.026847081999788358e-01,6.442088392345141079e-01,3.416640788845035637e-01,1.605869439885590833e+00
1.120000000000000107e+00,3.139419417289610603e-01,6.703032563325398430e-01,3.406148217049506655e-01,1.661570039549013167e+00
1.130000000000000115e+00,3.254092013132151573e-01,6.972354259720561220e-01,3.385726791446738715e-01,1.718850468444447444e+00
1.140000000000000124e+00,3.370718260439488634e-01,7.250137617502273590e-01,3.354429609694823400e-01,1.777811942256265043e+00
1.150000000000000133e+00,3.489151550123698597e-01,7.536466772642180789e-01,3.311211007775544113e-01,1.838569277933114199e+00
1.159999999999999920e+00,3.609107188281321377e-01,7.831410567311924975e-01,3.255004678589247802e-01,1.901239319005864736e+00
1.169999999999999929e+00,3.730444766618933317e-01,8.135002251916123583e-01,3.184780155732957474e-01,1.965930851220996312e+00
1.179999999999999938e+00,3.853054372640808967e-01,8.447244138991073514e-01,3.098813037597797360e-01,2.032851942304726656e+00
1.189999999999999947e+00,3.976563315592240300e-01,8.768115071553924667e-01,2.995378922574890579e-01,2.102210659983275054e+00
1.199999999999999956e+00,4.100598904718520954e-01,9.097593892621826939e-01,2.872674816940456455e-01,2.174234167726829092e+00
1.209999999999999964e+00,4.224788449264944012e-01,9.435659445211930230e-01,2.728740687153277666e-01,2.249152496407120339e+00
1.219999999999999973e+00,4.348759258476803113e-01,9.782290572341381107e-01,2.560983365394339240e-01,2.327297790650110443e+00
1.229999999999999982e+00,4.472138641599390230e-01,1.013746611702733169e+00,2.366467246738691299e-01,2.409083170379767047e+00
1.239999999999999991e+00,4.594553907877999555e-01,1.050116492228692966e+00,2.142256726261383970e-01,2.494921755520057793e+00
1.250000000000000000e+00,4.715632366557923616e-01,1.087336583113732491e+00,1.885392206701873019e-01,2.585233911545667507e+00
1.260000000000000009e+00,4.834983629456023890e-01,1.125410817047725276e+00,1.592995030728644457e-01,2.680465021395438630e+00
1.270000000000000018e+00,4.952081770190373544e-01,1.164366089183547226e+00,1.263256886892773767e-01,2.780933158173466424e+00
1.280000000000000027e+00,5.066628756498268160e-01,1.204130749652942756e+00,8.968867446875489202e-02,2.886610853213000372e+00
1.290000000000000036e+00,5.178096083953195317e-01,1.244720720505197331e+00,4.989423849290690327e-02,2.996837779089579712e+00
1.300000000000000044e+00,5.285955248128639816e-01,1.286151923789596863e+00,8.005457791369602338e-03,3.110114021088814962e+00
1.310000000000000053e+00,5.389677744598087017e-01,1.328440281555427038e+00,-3.436326047806229772e-02,3.224090819907581285e+00
1.320000000000000062e+00,5.488735068935023387e-01,1.371601715851973768e+00,-7.546513985226618870e-02,3.336216101123442801e+00
1.330000000000000071e+00,5.582598716712936504e-01,1.415652148728522963e+00,-1.139510871903874623e-01,3.444551416734123350e+00
1.340000000000000080e+00,5.670740183505309506e-01,1.460607502234360311e+00,-1.489783646201588707e-01,3.547929347550404344e+00
1.350000000000000089e+00,5.752630964885631082e-01,1.506483698418771500e+00,-1.802691894466147693e-01,3.646027726722504969e+00
1.360000000000000098e+00,5.827742556427386589e-01,1.553296659331042440e+00,-2.078911061572029373e-01,3.739010146779121690e+00
1.370000000000000107e+00,5.895523824400954460e-01,1.601071609975301957e+00,-2.320717975053049609e-01,3.827251818148791340e+00
1.380000000000000115e+00,5.955383176993166439e-01,1.649845610569414145e+00,-2.531141193289332958e-01,3.911203323119610609e+00
1.390000000000000124e+00,6.006731088311414446e-01,1.699663265086080122e+00,-2.713365314272643269e-01,3.991323882991399952e+00
1.400000000000000133e+00,6.048976677613818742e-01,1.750570734656752725e+00,-2.870232920611242577e-01,4.067999251452327769e+00
1.409999999999999920e+00,6.081528755869171077e-01,1.802614485575456671e+00,-3.004276408852433744e-01,4.141564253155086917e+00
1.419999999999999929e+00,6.103788136905967665e-01,1.855847282790560548e+00,-3.117926662285424033e-01,4.212334741544625061e+00
1.429999999999999938e+00,6.115153225031422224e-01,1.910327475848569989e+00,-3.213522711607441629e-01,4.280603789040995366e+00
1.439999999999999947e+00,6.115025415378563256e-01,1.966115458474280153e+00,-3.292500886080123590e-01,4.346538724174157764e+00
1.449999999999999956e+00,6.102817147563609490e-01,2.023274029914670535e+00,-3.356297514965107531e-01,4.410306875474068633e+00
1.459999999999999964e+00,6.077955771148110253e-01,2.081866770162021929e+00,-3.406348927524031067e-01,4.472075571470690569e+00
1.469999999999999973e+00,6.039980183120633450e-01,2.141947027075743026e+00,-3.443991691909580877e-01,4.531998822489542889e+00
1.479999999999999982e+00,5.988186630333500737e-01,2.203597523337078812e+00,-3.470350734094425071e-01,4.590200350412028563e+00
1.489999999999999991e+00,5.922239504701581891e-01,2.266860918190631846e+00,-3.486288850948449647e-01,4.646770139632899976e+00
1.500000000000000000e+00,5.841874537317667260e-01,2.331771846169151008e+00,-3.492568174369712897e-01,4.701785359180052914e+00
1.510000000000000009e+00,5.746827459274544969e-01,2.398364941805387396e+00,-3.489950836256273670e-01,4.755323178081384938e+00
1.520000000000000018e+00,5.637140538069921325e-01,2.466639125328060178e+00,-3.479169570389503696e-01,4.807456573587046478e+00
1.530000000000000027e+00,5.512372808292841375e-01,2.536650773943407877e+00,-3.460887976688930556e-01,4.858250627045404890e+00
1.540000000000000036e+00,5.373260002921861345e-01,2.608316907158328757e+00,-3.435659486312489519e-01,4.907755242041685229e+00
1.550000000000000044e+00,5.220570790160201646e-01,2.681550654354845520e+00,-3.403977783069503382e-01,4.956011388379629956e+00
1.560000000000000053e+00,5.055148252515448970e-01,2.756256494562029591e+00,-3.366336550769293279e-01,5.003060035862979760e+00
