0.000000000000000000e+00,1.000000000000000056e-01,2.741592653589793205e+00,0.000000000000000000e+00
-9.329635649919509888e-03,1.507145315408706665e-01,2.716345310211181641e+00,-2.150934189558029175e-01
-1.814313605427742004e-02,2.038772553205490112e-01,2.684666872024536133e+00,-4.232419729232788086e-01
-2.677150443196296692e-02,2.583902478218078613e-01,2.647806644439697266e+00,-6.219327449798583984e-01
-3.532793000340461731e-02,3.129185438156127930e-01,2.607636451721191406e+00,-8.088544607162475586e-01
-4.372381046414375305e-02,3.661087155342102051e-01,2.566218852996826172e+00,-9.821699857711791992e-01
-5.174966529011726379e-02,4.168015718460083008e-01,2.525421619415283203e+00,-1.140716910362243652e+00
-5.917217209935188293e-02,4.641649127006530762e-01,2.486676931381225586e+00,-1.284063696861267090e+00
-6.580649316310882568e-02,5.077213644981384277e-01,2.450911283493041992e+00,-1.412427663803100586e+00
-7.154746353626251221e-02,5.472996830940246582e-01,2.418599843978881836e+00,-1.526512861251831055e+00
-7.636515796184539795e-02,5.829538702964782715e-01,2.389873743057250977e+00,-1.627335309982299805e+00
-8.028762042522430420e-02,6.148833632469177246e-01,2.364636182785034180e+00,-1.716071248054504395e+00
-8.337886631488800049e-02,6.433680653572082520e-01,2.342656135559082031e+00,-1.793945670127868652e+00
-8.572085201740264893e-02,6.687238812446594238e-01,2.323640108108520508e+00,-1.862159848213195801e+00
-8.739988505840301514e-02,6.912727952003479004e-01,2.307273864746093750e+00,-1.921846508979797363e+00
-8.849923312664031982e-02,7.113255858421325684e-01,2.293251991271972656e+00,-1.974048018455505371e+00
-8.909533917903900146e-02,7.291718125343322754e-01,2.281289577484130859e+00,-2.019707202911376953e+00
-8.925591409206390381e-02,7.450762987136840820e-01,2.271131277084350586e+00,-2.059666395187377930e+00
-8.903945982456207275e-02,7.592768073081970215e-01,2.262550830841064453e+00,-2.094672679901123047e+00
-8.849643170833587646e-02,7.719849348068237305e-01,2.255350589752197266e+00,-2.125385761260986328e+00
-8.766989409923553467e-02,7.833880782127380371e-01,2.249358654022216797e+00,-2.152383565902709961e+00
-8.659528195858001709e-02,7.936509847640991211e-01,2.244427204132080078e+00,-2.176173210144042969e+00
-8.530335128307342529e-02,8.029181361198425293e-01,2.240428686141967773e+00,-2.197199344635009766e+00
-8.381949365139007568e-02,8.113159537315368652e-01,2.237252235412597656e+00,-2.215848922729492188e+00
-8.216474950313568115e-02,8.189547657966613770e-01,2.234801769256591797e+00,-2.232460260391235352e+00
-8.035726845264434814e-02,8.259306550025939941e-01,2.232994556427001953e+00,-2.247327804565429688e+00
-7.841087877750396729e-02,8.323274254798889160e-01,2.231758117675781250e+00,-2.260708808898925781e+00
-7.633830606937408447e-02,8.382179141044616699e-01,2.231029033660888672e+00,-2.272826194763183594e+00
-7.414971292018890381e-02,8.436651825904846191e-01,2.230751752853393555e+00,-2.283874988555908203e+00
-7.185263931751251221e-02,8.487243652343750000e-01,2.230877399444580078e+00,-2.294023990631103516e+00
-6.945417821407318115e-02,8.534423708915710449e-01,2.231360912322998047e+00,-2.303420305252075195e+00
-6.695918738842010498e-02,8.578607439994812012e-01,2.232164621353149414e+00,-2.312189817428588867e+00
-6.437213718891143799e-02,8.620143532752990723e-01,2.233253240585327148e+00,-2.320442676544189453e+00
-6.169580295681953430e-02,8.659339547157287598e-01,2.234595298767089844e+00,-2.328273057937622070e+00
-5.893288925290107727e-02,8.696454167366027832e-01,2.236162662506103516e+00,-2.335762023925781250e+00
-5.608474090695381165e-02,8.731710314750671387e-01,2.237929344177246094e+00,-2.342978715896606445e+00
-5.315255001187324524e-02,8.765298724174499512e-01,2.239872217178344727e+00,-2.349982261657714844e+00
-5.013682320713996887e-02,8.797378540039062500e-01,2.241969585418701172e+00,-2.356822729110717773e+00
-4.703753069043159485e-02,8.828085064888000488e-01,2.244201898574829102e+00,-2.363541603088378906e+00
-4.385464265942573547e-02,8.857527375221252441e-01,2.246550559997558594e+00,-2.370174169540405273e+00
-4.058759286999702454e-02,8.885795474052429199e-01,2.248999118804931641e+00,-2.376748085021972656e+00
-3.723545745015144348e-02,8.912968039512634277e-01,2.251531600952148438e+00,-2.383286714553833008e+00
-3.379769995808601379e-02,8.939104676246643066e-01,2.254133939743041992e+00,-2.389808177947998047e+00
-3.027339652180671692e-02,8.964248895645141602e-01,2.256792306900024414e+00,-2.396326780319213867e+00
-2.666096761822700500e-02,8.988437056541442871e-01,2.259494304656982422e+00,-2.402852535247802734e+00
-2.295939996838569641e-02,9.011695384979248047e-01,2.262227773666381836e+00,-2.409392595291137695e+00
-1.916768029332160950e-02,9.034034609794616699e-01,2.264981508255004883e+00,-2.415951251983642578e+00
-1.528476551175117493e-02,9.055467844009399414e-01,2.267745018005371094e+00,-2.422529935836791992e+00
-1.130955293774604797e-02,9.075993299484252930e-01,2.270508766174316406e+00,-2.429128408432006836e+00
-7.240969687700271606e-03,9.095606803894042969e-01,2.273263216018676758e+00,-2.435744047164916992e+00
-3.078121691942214966e-03,9.114300608634948730e-01,2.275999546051025391e+00,-2.442373275756835938e+00
1.179706305265426636e-03,9.132062196731567383e-01,2.278709411621093750e+00,-2.449010848999023438e+00
5.533199757337570190e-03,9.148871302604675293e-01,2.281384706497192383e+00,-2.455650329589843750e+00
9.982567280530929565e-03,9.164709448814392090e-01,2.284017562866210938e+00,-2.462284326553344727e+00
1.452852413058280945e-02,9.179552197456359863e-01,2.286601066589355469e+00,-2.468904495239257812e+00
1.917089149355888367e-02,9.193379282951354980e-01,2.289128541946411133e+00,-2.475501537322998047e+00
2.390940114855766296e-02,9.206160902976989746e-01,2.291593074798583984e+00,-2.482066154479980469e+00
2.874372527003288269e-02,9.217872023582458496e-01,2.293988466262817383e+00,-2.488588094711303711e+00
3.367341682314872742e-02,9.228481650352478027e-01,2.296308994293212891e+00,-2.495057344436645508e+00
3.869731351733207703e-02,9.237959980964660645e-01,2.298548221588134766e+00,-2.501463413238525391e+00
4.381467029452323914e-02,9.246280193328857422e-01,2.300701141357421875e+00,-2.507794618606567383e+00
4.902402684092521667e-02,9.253411889076232910e-01,2.302761554718017578e+00,-2.514039754867553711e+00
5.432353541254997253e-02,9.259324669837951660e-01,2.304724693298339844e+00,-2.520187616348266602e+00
5.971140787005424500e-02,9.263986945152282715e-01,2.306585788726806641e+00,-2.526227235794067383e+00
6.518523395061492920e-02,9.267367720603942871e-01,2.308339595794677734e+00,-2.532147169113159180e+00
7.074244320392608643e-02,9.269441962242126465e-01,2.309982299804687500e+00,-2.537935256958007812e+00
7.638047635555267334e-02,9.270177483558654785e-01,2.311508417129516602e+00,-2.543580770492553711e+00
8.209644258022308350e-02,9.269549250602722168e-01,2.312914609909057617e+00,-2.549072027206420898e+00
8.788628876209259033e-02,9.267527461051940918e-01,2.314196109771728516e+00,-2.554397821426391602e+00
9.374652802944183350e-02,9.264085888862609863e-01,2.315349340438842773e+00,-2.559546947479248047e+00
9.967343509197235107e-02,9.259198307991027832e-01,2.316370487213134766e+00,-2.564508676528930664e+00
1.056621223688125610e-01,9.252842664718627930e-01,2.317255258560180664e+00,-2.569271564483642578e+00
1.117086559534072876e-01,9.244993329048156738e-01,2.318000793457031250e+00,-2.573824882507324219e+00
1.178081482648849487e-01,9.235629439353942871e-01,2.318602800369262695e+00,-2.578157663345336914e+00
1.239550262689590454e-01,9.224729537963867188e-01,2.319059371948242188e+00,-2.582259416580200195e+00
1.301440447568893433e-01,9.212276339530944824e-01,2.319366216659545898e+00,-2.586119651794433594e+00
1.363695114850997925e-01,9.198250174522399902e-01,2.319520473480224609e+00,-2.589727878570556641e+00
1.426253765821456909e-01,9.182636737823486328e-01,2.319519758224487305e+00,-2.593074798583984375e+00
1.489055603742599487e-01,9.165416359901428223e-01,2.319360971450805664e+00,-2.596148967742919922e+00
1.552033275365829468e-01,9.146580100059509277e-01,2.319042205810546875e+00,-2.598941802978515625e+00
1.615120619535446167e-01,9.126115441322326660e-01,2.318560600280761719e+00,-2.601443052291870117e+00
1.678249388933181763e-01,9.104011654853820801e-01,2.317914485931396484e+00,-2.603643417358398438e+00
1.741348356008529663e-01,9.080265164375305176e-01,2.317101716995239258e+00,-2.605534315109252930e+00
1.804343909025192261e-01,9.054865241050720215e-01,2.316120147705078125e+00,-2.607106685638427734e+00
1.867159456014633179e-01,9.027809500694274902e-01,2.314968347549438477e+00,-2.608351469039916992e+00
1.929723769426345825e-01,8.999096751213073730e-01,2.313644409179687500e+00,-2.609259605407714844e+00
1.991952806711196899e-01,8.968727588653564453e-01,2.312147378921508789e+00,-2.609823703765869141e+00
2.053772062063217163e-01,8.936703801155090332e-01,2.310475826263427734e+00,-2.610035657882690430e+00
2.115097790956497192e-01,8.903031349182128906e-01,2.308629035949707031e+00,-2.609887838363647461e+00
2.175848037004470825e-01,8.867716789245605469e-01,2.306606292724609375e+00,-2.609372854232788086e+00
2.235939353704452515e-01,8.830772638320922852e-01,2.304406404495239258e+00,-2.608483791351318359e+00
2.295291870832443237e-01,8.792207837104797363e-01,2.302029609680175781e+00,-2.607213020324707031e+00
